,name,payment_modes,locality
2581,Yug 21 Eateries,,"Kharadi, Pune"
2582,Haldiram's Express,,"Shukrawar Peth, Pune"
2583,Monk's & Blue's,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
2584,Kinki,"Cash and Cards accepted
Digital payments accepted","Koregaon Park, Pune"
2585,Hotel New Sangam,,"Akurdi, Pune"
2586,Kaivalya Cafe,"
Digital payments accepted","Sinhgad Road, Pune"
2587,Paratha Envy,,"Wadgaon Sheri, Pune"
2588,Sanman Family Restaurant,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Karve Nagar, Pune"
2589,Anna Idli,Cash and Cards accepted,"Dhole Patil Road, Pune"
2590,Italian Street,,"Wadgaon Sheri, Pune"
2591,Haka,,"Senapati Bapat Road, Pune"
2592,What' A Sandwich!,,"Undri, Pune"
2593,Delizia Ice Cream & Milk Products,,"Kothrud, Pune"
2594,Mealful Rolls - Meals In A Roll,,"Bavdhan, Pune"
2595,Nk Chinese Center Shiv,,"Baner, Pune"
2596,Combo King,,"Chinchwad, Pune"
2597,Gelato Italiano,"
Digital payments accepted","Seasons Mall, Magarpatta , Pune"
2598,Hotel Al Madeena,,"Kondhwa, Pune"
2599,Sarthak Sandwich,,"Chandan Nagar, Pune"
2600,Woods Tandoori,,"Warje, Pune"
2601,Pizza Hut,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Hinjawadi, Pune"
2602,Bhukkad,,"Baner, Pune"
2603,Keventers Milkshakes and Desserts,Cash and Cards accepted,"Phoenix Market City, Viman Nagar, Pune"
2604,Shama Bhosle's Lazeez Biryani,,"Sadashiv Peth, Pune"
2605,Desi Handi,,"Baner, Pune"
2606,The Momo Panda,,"FC Road, Pune"
2607,9 Dragon Chinese Center,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
2608,Copper Chocs,,"Aundh, Pune"
2609,Captain Rolls,,"Undri, Pune"
2610,Bring It On Cafe,"Cash and Cards accepted
Digital payments accepted","Wanowrie, Pune"
2611,Hotel In The Neighborhood,,"Wakad, Pune"
2612,Radhika - Flavours of East,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
2613,UBQ By Barbeque Nation,,"Chinchwad, Pune"
2614,Blue Bell Food Zone,,"Undri, Pune"
2615,How's the Bowl,,"Hadapsar, Pune"
2616,Chinese Food Empire,,"Wakad, Pune"
2617,Hotel New Roshan,"
Digital payments accepted","Pimpri, Pune"
2618,NH1 Bowls - Highway To North,,"Aundh, Pune"
2619,Brew Culture,,"Deccan Gymkhana, Pune"
2620,AR's Arebian Shawarma,,"Sinhgad Road, Pune"
2621,Happiness Factory,,"Baner, Pune"
2622,Butter Brews Bistro,"Cash and Cards accepted
Digital payments accepted","Model Colony, Pune"
2623,De Kettle Cafe,,"Camp Area, Pune"
2624,Nishan Pure Veg,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
2625,Grill Masters,,"Kharadi, Pune"
2626,Bina's Bengali Kitchen,,"Magarpatta, Pune"
2627,Mother's Kitchen,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
2628,Oblique Kitchen,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
2629,The Belgian Waffle Co.,Cash and Cards accepted,"Aundh, Pune"
2630,Fantasy Bakery N Patisserie,,"Wakad, Pune"
2631,Koji - Conrad Pune,Cash and Cards accepted,"Conrad Pune, Bund Garden Road, Pune"
2632,The Urban Hut,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
2633,S.K Catering Service,,"Hadapsar, Pune"
2634,Sainath Bhel,"
Digital payments accepted","Hadapsar, Pune"
2635,The Maratha,,"Pimple Saudagar, Pune"
2636,Tahari House,,"NIBM Road, Pune"
2637,World of Pizza & Burger,,"Wanowrie, Pune"
2638,Burgertron,,"Balewadi, Pune"
2639,Misal and More,,"Kondhwa, Pune"
2640,Pakeeza,,"Bhosari, Pune"
2641,Haldiram's,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
2642,Firangi Bake,,"Shaniwar Peth, Pune"
2643,Shree Ganesh Fast Food,"
Digital payments accepted","Bibvewadi, Pune"
2644,Chinese Hub,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
2645,Delhi 6,,"Viman Nagar, Pune"
2646,McDonald's,"Cash and Cards accepted
Digital payments accepted","Dange Chowk, Pune"
2647,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"MG Road, Pune"
2648,Butter Brews,"Cash and Cards accepted
Digital payments accepted","Koregaon Park, Pune"
2649,Subway,"Cash and Cards accepted
Digital payments accepted","Parvati, Pune"
2650,Rolls And Bowls By Feedx,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
2651,Navyug Restaurant,"Cash and Cards accepted
Digital payments accepted","Dhole Patil Road, Pune"
2652,WS Bakers,,"Bavdhan, Pune"
2653,Apple 5,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
2654,Desi Bruschetta Pizzeria,"
Digital payments accepted","Viman Nagar, Pune"
2655,Witch Sandwich,,"Hadapsar, Pune"
2656,Starbucks Coffee,Cash and Cards accepted,"Balewadi High Street, Baner, Pune"
2657,Indore Streets,"
Digital payments accepted","Undri, Pune"
2658,Paramhans Pure Veg,Cash and Cards accepted,"Kharadi, Pune"
2659,Malwan Samudra,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
2660,Biryani By Kilo,Cash and Cards accepted,"NIBM Road, Pune"
2661,Cafe Zillion,,"Pimple Gurav, Pune"
2662,Saanjh Chinese Restaurant,"
Digital payments accepted","Chinchwad, Pune"
2663,Quick Bites,,"Karve Nagar, Pune"
2664,Maska Pav,"
Digital payments accepted","Akurdi, Pune"
2665,Sai Restaurant,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
2666,Eat-O-Keto,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
2667,Chowking,,"Kothrud, Pune"
2668,Maa Ki Rasoi,,"Dhanori, Pune"
2669,Huber & Holly,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
2670,Aroma Tandoor And Biryani House,,"Hinjawadi, Pune"
2671,Shree Venkateshwara  Hotel,"Cash and Cards accepted
Digital payments accepted","Mundhwa, Pune"
2672,Hotel Kautik,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
2673,Unicorn House,Cash and Cards accepted,"Kalyani Nagar, Pune"
2674,The Cake World,,"Aundh, Pune"
2675,Aaysha Caterers And Snacks,,"Parvati, Pune"
2676,The Bengal Kitchen,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
2677,The Big Momo,,"Viman Nagar, Pune"
2678,Punjabi Rasoi,Cash and Cards accepted,"Nigdi, Pune"
2679,Desi Addah,"
Digital payments accepted","Shivane, Pune"
2680,Mummy Ki Roti,,"Narhe, Pune"
2681,Italian Kitchen,,"NIBM Road, Pune"
2682,Hotel Lijjat,,"Viman Nagar, Pune"
2683,NIC - Natural Ice Creams,,"Dhole Patil Road, Pune"
2684,Pizza & Soup,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
2685,Big Loaf Sandwich,,"NIBM Road, Pune"
2686,Rajmandir Ice Cream,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
2687,Kwality Walls Frozen And Dessert Ice Cream,,"Kharadi, Pune"
2688,Ghodke Cafe & Snacks,,"Baner, Pune"
2689,Arabian Xprs,"
Digital payments accepted","Narhe, Pune"
2690,Veggies Paradise,,"Undri, Pune"
2691,Fantasy Bakery N Patisserie,,"Kothrud, Pune"
2692,Lavani Mirchi,,"Dhanori, Pune"
2693,Baba Biryani,"Cash and Cards accepted
Digital payments accepted","Yerawada, Pune"
2694,Tekchand Vadapav And Nashta House,,"Pimpri, Pune"
2695,Hotel Sagar,,"Bhosari, Pune"
2696,The Divine Cafe,"Cash and Cards accepted
Digital payments accepted","Mundhwa, Pune"
2697,PR Rolls House,,"Sinhgad Road, Pune"
2698,Big City Waffles,,"Wadgaon Sheri, Pune"
2699,The Biryani Box,,"FC Road, Pune"
2700,MH 12 Pav Bhaji,"
Digital payments accepted","Dhankawadi, Pune"
2701,Mammy Ka Kitchen,,"Dhanori, Pune"
2702,Behrouz Biryani,,"Camp Area, Pune"
2703,Slay Coffee,,"Pimple Nilakh, Pune"
2704,Vaishno Fast Food,"
Digital payments accepted","Khadki, Pune"
2705,The Momo Co.,,"Chinchwad, Pune"
2706,The Foodie Hub,,"Sinhgad Road, Pune"
2707,Doon Express,,"Baner, Pune"
2708,GLOBO Ice Creams Of The World,,"Dhayari, Pune"
2709,Ruhe Organic Cafe,"Cash and Cards accepted
Digital payments accepted","Kalyani Nagar, Pune"
2710,Aaswad,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
2711,Pizza Hut,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
2712,Delish Pizza,,"Wakad, Pune"
2713,Cakes N Balloons,,"Pashan, Pune"
2714,Shaukeen Paan Shop,,"Bavdhan, Pune"
2715,Trattoria By Toscano,,"Koregaon Park, Pune"
2716,Pablo Chicken,,"Wadgaon Sheri, Pune"
2717,Shree Lokseva South Indian,,"Hadapsar, Pune"
2718,Shree Krisnha Sandwich,,"Satara Road, Pune"
2719,Seven - Shawarma & Burgers,"Cash and Cards accepted
Digital payments accepted","Koregaon Park, Pune"
2720,Sns Bites,"
Digital payments accepted","Chinchwad, Pune"
2721,My Salad Bar,,"Viman Nagar, Pune"
2722,Brownie Point Undri,,"Undri, Pune"
2723,Momo & Co.,,"Wakad, Pune"
2724,Pizza Club,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
2725,Meal O Minutes,,"Undri, Pune"
2726,Aladeen,,"Kondhwa, Pune"
2727,Om Sai Vadewale,"
Digital payments accepted","Wadgaon Sheri, Pune"
2728,Dawat Biryani House,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
2729,Flour Story - Bakery And Patisserie,,"Destination Centre, Magarpatta, Pune"
2730,Makizushi,,"Chandan Nagar, Pune"
2731,Cafe Kathaa,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
2732,LunchBox - Meals and Thalis,,"Kondhwa, Pune"
2733,Natural Ice Cream,Cash and Cards accepted,"Hinjawadi, Pune"
2734,Tea Post,"Cash and Cards accepted
Digital payments accepted","Amanora Town Centre, Hadapsar, Pune"
2735,Raahguzar,,"Koregaon Park, Pune"
2736,Thikana,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
2737,Scoop Of Biryani,,"Dhanori, Pune"
2738,Bake House Cafe - Cakes & More,"
Digital payments accepted","Sinhgad Road, Pune"
2739,Chotu's,"
Digital payments accepted","Magarpatta, Pune"
2740,Hotel Red Chilli,"
Digital payments accepted","Hadapsar, Pune"
2741,New Poona Bakery,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
2742,New Afghan Zaika Restaurant,"Cash and Cards accepted
Digital payments accepted","Kondhwa, Pune"
2743,Indore Street,,"Wakad, Pune"
2744,Radha Soami,"
Digital payments accepted","Pimpri, Pune"
2745,Scooper Dooper,"
Digital payments accepted","Pimple Saudagar, Pune"
2746,Kaafe,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
2747,Noble Bake Food,,"Wanowrie, Pune"
2748,Om Shree Swami Samarth Sandwich,,"Rasta Peth, Pune"
2749,HK Biryani Haveli,"
Digital payments accepted","Wagholi, Pune"
2750,Hotel Al Madeena,,"Kondhwa, Pune"
2751,Sa Cremee,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
2752,Royal Kulfi & Rabdi,,"Khadki, Pune"
2753,Nawab Biryani & Kabab,,"Aundh, Pune"
2754,Red Chilly,"
Digital payments accepted","Hadapsar, Pune"
2755,Aroma's Hyderabad House,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
2756,Hotel Dawat Biryani House,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
2757,UFO Fries & Corn,"
Digital payments accepted","Katraj, Pune"
2758,The Grill Junction,"
Digital payments accepted","Pimpri, Pune"
2759,Pind Punjab - Street Food & Sweets,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
2760,B.Y.O.B Resto & Lounge,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
2761,Yenna Dosa,"Cash and Cards accepted
Digital payments accepted","Bibvewadi, Pune"
2762,Fresh Cream Factory,,"Pimple Saudagar, Pune"
2763,Cafe Peter,Cash and Cards accepted,"NIBM Road, Pune"
2764,Crazy Cheesy,"Cash and Cards accepted
Digital payments accepted","Tilak Road, Pune"
2765,Burger Express,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
2766,Testy Zaika Kitchen,,"Sadashiv Peth, Pune"
2767,Crystal Restaurants,"
Digital payments accepted","Pimpri, Pune"
2768,Lai Bhari Chinese,,"Baner, Pune"
2769,Shivneri Misal,"
Digital payments accepted","Kharadi, Pune"
2770,Labbaik Biryani House,,"Sinhgad Road, Pune"
2771,The Ugk Pizzeria,,"Balewadi, Pune"
2772,Aansaa's Chinese,,"Bavdhan, Pune"
2773,The Fish Thali,"
Digital payments accepted","Shivaji Nagar, Pune"
2774,Reddy's Restaurant,Cash and Cards accepted,"Phursungi, Pune"
2775,Hotel Lucky Point,"Cash and Cards accepted
Digital payments accepted","Akurdi, Pune"
2776,Infinity Cafe,"Cash and Cards accepted
Digital payments accepted","Karve Nagar, Pune"
2777,Pakoda N Faluda Cafe,,"Rasta Peth, Pune"
2778,Shaukeen Paan Shop,,"Hadapsar, Pune"
2779,The Dessert Zone,,"Kothrud, Pune"
2780,New Poona Bakery,,"Wakad, Pune"
2781,Burger Town,,"Baner, Pune"
2782,The Green Root Cafe,"
Digital payments accepted","Pimple Nilakh, Pune"
2783,Savlahari Pot Ice Cream & Mastani,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
2784,Hotel Shivar,"
Digital payments accepted","Viman Nagar, Pune"
2785,Jogeshwari Misal,"
Digital payments accepted","Hinjawadi, Pune"
2786,A-1 Olympia,"
Digital payments accepted","Kothrud, Pune"
2787,Go Rigo Go,"Cash and Cards accepted
Digital payments accepted","Salunkhe Vihar Road, Pune"
2788,Gypsy Caterers,,"Kothrud, Pune"
2789,The Belgian Waffle Co.,"Cash and Cards accepted
Digital payments accepted","Bibvewadi, Pune"
2790,Pedro's Kitchen,,"Viman Nagar, Pune"
2791,What'A Sandwich,,"Wakad, Pune"
2792,Satguru's Punjabi Rasoi,"Cash and Cards accepted
Digital payments accepted","Ravet, Pune"
2793,Paratha Envy,,"Pimple Nilakh, Pune"
2794,Yo Streeto,"
Digital payments accepted","Viman Nagar, Pune"
2795,Pune Darbar Biryani House,,"Camp Area, Pune"
2796,Khatri Bandhu Pot Ice Cream,"
Digital payments accepted","Kothrud, Pune"
2797,Greecania,,"Bibvewadi, Pune"
2798,Kerala Fast Food,"
Digital payments accepted","Khadki, Pune"
2799,Creme De Fiesta,,"Pimple Gurav, Pune"
2800,Domino's Pizza,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
2801,Shreyash Rolls,"
Digital payments accepted","Wakad, Pune"
2802,Vadilal Ice Cream,,"JM Road, Pune"
2803,KGN Xprs,"
Digital payments accepted","Dhayari, Pune"
2804,RollEatUp Cafe,"
Digital payments accepted","Wakad, Pune"
2805,Cafe Creme,"Cash and Cards accepted
Digital payments accepted","Lohegaon, Pune"
2806,Cafe WTH,,"Kothrud, Pune"
2807,Hotel Nageshwar Veg & Non Veg,"
Digital payments accepted","Rasta Peth, Pune"
2808,Lucky Restaurant,,"Talawade, Pune"
2809,Hotel Madhura,,"Lohegaon, Pune"
2810,Pathan Laziz Biryani House,,"Erandwane, Pune"
2811,Nandadeep,"
Digital payments accepted","Bhosari, Pune"
2812,Venky's Xprs,Cash and Cards accepted,"Camp Area, Pune"
2813,KVC Pavbhaji &  Pulao,,"Hadapsar, Pune"
2814,Kannu Ki Chai,"
Digital payments accepted","Baner, Pune"
2815,Big Bites,,"Kharadi, Pune"
2816,La Italian Slice,,"Koregaon Park, Pune"
2817,Food Express MH 14,"Cash and Cards accepted
Digital payments accepted","Dange Chowk, Pune"
2818,Momoya,,"Hinjawadi, Pune"
2819,Aansh Samosa Cafe,"
Digital payments accepted","Pimpri, Pune"
2820,Mummy's Kitchen,,"Viman Nagar, Pune"
2821,Domino's Pizza,"Cash, Cards and Meal Coupons accepted","Bund Garden Road, Pune"
2822,Eatsome,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Viman Nagar, Pune"
2823,House of Pav Bhaji by GaramTawa Bistro,,"Balewadi, Pune"
2824,Mother Bakes The Cake Shop & Bakery,,"Wakad, Pune"
2825,Mahi Uphar Gruh,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
2826,Kebab Bistro,"
Digital payments accepted","Talawade, Pune"
2827,Hotel Chandralok,"
Digital payments accepted","Dhankawadi, Pune"
2828,Taco Bell,"
Digital payments accepted","Balewadi, Pune"
2829,Fung Fu Panda,,"Dhanori, Pune"
2830,Haldiram's Chaat,,"Hadapsar, Pune"
2831,Cookie Man,,"Phoenix Market City, Viman Nagar, Pune"
2832,Anda Mental,"
Digital payments accepted","Bavdhan, Pune"
2833,A-1 Darbar Restaurant,"
Digital payments accepted","Kondhwa, Pune"
2834,Seven27,"
Digital payments accepted","Ravet, Pune"
2835,Peri Book Cafe,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
2836,Rohit Wadewale,,"Hinjawadi, Pune"
2837,Indorilaal,"
Digital payments accepted","Baner, Pune"
2838,Food For Thought,"Cash and Cards accepted
Digital payments accepted","Fatima Nagar, Pune"
2839,The London Cafe,,"Pimpri, Pune"
2840,Krishnankita Misal House,"
Digital payments accepted","Chinchwad, Pune"
2841,Hotel Lazeez Darbar,,"Hadapsar, Pune"
2842,Maa Ke Rosei,,"Lohegaon, Pune"
2843,Hotel Kohinoor Family Resto Veg Non Veg,"
Digital payments accepted","Narhe, Pune"
2844,Assal Nagpuri Savji,,"Kothrud, Pune"
2845,Real Beijing Chinese,"
Digital payments accepted","Kothrud, Pune"
2846,Taste N Twist,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Kharadi, Pune"
2847,Chicken Lovers,,"Pimple Saudagar, Pune"
2848,The Dhaba,,"Lohegaon, Pune"
2849,The Bangs,,"Hinjawadi, Pune"
2850,Chaat Bazaar,"Cash and Cards accepted
Digital payments accepted","Kumar Pacific Mall, Swargate, Pune"
2851,Burger Fusion,,"Pimple Nilakh, Pune"
2852,Blue Nile,Cash and Cards accepted,"Camp Area, Pune"
2853,Yummilicious Cakes N More,"Cash and Cards accepted
Digital payments accepted","Wagholi, Pune"
2854,Hotel Vrindavan,"Cash and Cards accepted
Digital payments accepted","Nigdi, Pune"
2855,WS Bakers,,"Dhanori, Pune"
2856,UBQ by Barbeque Nation,,"NIBM Road, Pune"
2857,Gurunanak Dairy And Sweets,,"Kalyani Nagar, Pune"
2858,Pampered Taste,,"Wadgaon Sheri, Pune"
2859,A1 Caterers,,"Chinchwad, Pune"
2860,Fish Katta Bhigwan Special Fish,"Cash and Cards accepted
Digital payments accepted","Pimple Gurav, Pune"
2861,Flavours Of China & Lebanon,,"Hadapsar, Pune"
2862,Tawa Street,,"Sinhgad Road, Pune"
2863,Cafe Love Bite,"
Digital payments accepted","Viman Nagar, Pune"
2864,Shawarma Zone,,"Satara Road, Pune"
2865,Gourmet Ice Cream Cakes By Baskin Robbins,,"Sinhgad Road, Pune"
2866,Chilli Pepper,,"Dhanori, Pune"
2867,Swa Varhadi Misal,"
Digital payments accepted","Kothrud, Pune"
2868,GS Mutton Bhakri,,"Chinchwad, Pune"
2869,Biryani Bowl,,"Baner, Pune"
2870,Burger House,,"Wakad, Pune"
2871,Dakshin,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
2872,Prem's,,"Baner, Pune"
2873,Sukshant,"Cash and Cards accepted
Digital payments accepted","Nigdi, Pune"
2874,AK Caterers & Biryani House,"
Digital payments accepted","Sinhgad Road, Pune"
2875,Shrinidhi's Hyderabadi Spice,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
2876,Ori Story- Chinese & Oriental,,"NIBM Road, Pune"
2877,Sezwan Chinese,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
2878,Chinese Express And Biryani House,,"Wakad, Pune"
2879,Namaste Jain Food Corner,"
Digital payments accepted","Kharadi, Pune"
2880,What' A Sandwich!,"Cash and Cards accepted
Digital payments accepted","Magarpatta, Pune"
2881,Rahul Wadewale,"
Digital payments accepted","Hadapsar, Pune"
2882,Chinese Hot Corner,"
Digital payments accepted","Hinjawadi, Pune"
